,0
0,409362.07999376976
1,497218.36088748067
2,278743.7288886386
3,953908.7246654158
4,644495.5941815544
5,139510.50568079314
6,660986.2789151728
7,744259.5623863081
8,1047072.2066789191
9,345371.7222709274
10,124763.70884008694
11,490304.0053146988
12,137939.028609387
13,158480.75269310997
14,1004512.9209463523
15,298385.0514344092
16,470453.6818310841
17,440317.554224498
18,588142.6292768603
19,494158.46143364126
20,923951.3119971541
21,1858140.899886
22,699802.1704571861
23,205596.84970255248
24,365705.3931937675
25,542742.3515162946
26,113462.61148392648
27,269663.26695928356
28,715814.5595736055
29,561708.8083620721
30,542486.5452887829
31,301458.5712474936
32,629372.4845892382
33,499648.09575441305
34,796566.8586155501
35,166031.9130579952
36,322777.8782017203
37,11027.608872264798
38,411116.4193899074
39,402166.96134994307
40,475254.0731917841
41,389747.5360769809
42,121446.78511940537
43,1825980.6228638468
44,403304.66594334645
45,685701.9118970924
46,503626.389929587
47,513288.08257229556
48,233844.36671898206
49,595269.8265333616
50,593948.4651786363
51,805900.255999407
52,207088.6684105018
53,384736.0795800203
54,1312740.7997781415
55,618803.6549387757
56,559170.0794521465
57,626990.2251052229
58,391020.8450059388
59,280547.0234609588
60,422197.2390307365
61,13731.073248037195
62,984494.6820931159
63,263789.082063513
64,460543.54003556015
65,349194.752625213
66,448208.0553945616
67,601253.2298891395
68,197977.1558950611
69,464528.0804979177
70,929543.7331257729
71,71715.87460579252
72,877273.3765170438
73,475202.30897842895
74,1151317.8828029358
75,627483.3534020332
76,229364.427855651
77,881695.6734894904
78,386478.9012287243
79,1637477.9261510521
80,356415.2384440432
81,386711.7293324
82,1098551.502457514
83,364612.0234713438
84,847319.6664788452
85,928529.199464098
86,1738762.5704039447
87,604016.4137352965
88,758082.6980849557
89,464651.6935402674
90,650179.9735487299
91,1299500.3662027027
92,737564.7792673314
93,121982.46627441025
94,722235.5864679628
95,402251.84009508253
96,349165.04080203734
97,319227.0910923077
98,99041.03926663788
99,434046.3836971804
100,1053408.955653877
101,725945.9845157528
102,342021.3660929613
103,287574.29376488057
104,415209.26668210386
105,561046.6129523291
106,792697.8142733413
107,483816.81240891595
108,1368657.7867521457
109,-54540.79306914055
110,325540.8448623308
111,465437.6948826739
112,403342.0327935497
113,466516.3446860865
114,319783.69345031946
115,694947.198792662
116,24267.163177773124
117,1947206.3836490829
118,505986.13753638323
119,405646.6455534771
120,659606.0012983915
121,388696.8135148311
122,426451.62228294916
123,1058794.9511806797
124,197031.0935241687
125,395003.75029814965
126,1061832.0903423228
127,943990.624710722
128,459967.8083706433
129,2065143.3525721594
130,707708.7581298675
131,819383.0890802968
132,625848.2920922916
133,222808.78912593605
134,272275.20598803903
135,994877.6922725356
136,520658.85377161845
137,530334.6943807618
138,417604.20869951195
139,932370.5506848599
